date,signal_x,signal_y
2019-01-17,-1,-1
2019-01-20,-1,-1
2019-01-24,-1,-1
2019-01-27,-1,-1
2019-01-29,-1,-1
2019-02-01,-1,-1
2019-02-04,-1,-1
2019-02-12,-1,-1
2019-02-16,-1,-1
2019-02-19,-1,-1
2019-02-21,-1,-1
2019-02-25,-1,-1
2019-02-28,-1,-1
2019-03-03,-1,-1
2019-03-06,-1,-1
2019-03-10,-1,-1
2019-03-13,-1,-1
2019-03-18,-1,-1
2019-03-20,-1,-1
2019-03-23,-1,-1
2019-03-25,-1,-1
2019-03-27,-1,-1
2019-04-02,-1,-1
2019-04-05,-1,-1
2019-04-09,-1,-1
2019-04-11,-1,-1
2019-04-19,-1,-1
2019-04-23,-1,-1
2019-04-25,-1,-1
2019-05-04,-1,-1
2019-05-09,-1,-1
2019-05-12,-1,-1
2019-05-19,-1,-1
2019-05-23,-1,-1
2019-05-26,-1,-1
2019-06-01,-1,-1
2019-06-03,-1,-1
2019-06-06,-1,-1
2019-06-08,-1,-1
2019-06-11,-1,-1
2019-06-16,-1,-1
2019-06-18,-1,-1
2019-06-23,-1,-1
2019-06-25,-1,-1
2019-07-04,-1,-1
2019-07-06,-1,-1
2019-07-08,-1,-1
2019-07-11,-1,-1
2019-07-13,-1,-1
2019-07-18,-1,-1
2019-07-21,-1,-1
2019-07-25,-1,-1
2019-07-28,-1,-1
2019-08-03,-1,-1
2019-08-07,-1,-1
2019-08-11,-1,-1
2019-08-15,-1,-1
2019-08-17,-1,-1
2019-08-20,-1,-1
2019-08-24,-1,-1
2019-08-27,-1,-1
2019-08-31,-1,-1
2019-09-05,-1,-1
2019-09-07,-1,-1
2019-10-01,-1,-1
2019-10-08,-1,-1
2019-10-18,-1,-1
2019-10-20,-1,-1
2019-10-24,-1,-1
2019-10-31,-1,-1
2019-11-07,-1,-1
2019-11-09,-1,-1
2019-11-15,-1,-1
2019-11-19,-1,-1
2019-11-22,-1,-1
2019-11-25,-1,-1
2019-11-28,-1,-1
2019-12-01,-1,-1
2019-12-03,-1,-1
2019-12-06,-1,-1
2019-12-10,-1,-1
2019-12-16,-1,-1
2019-12-19,-1,-1
2019-12-23,-1,-1
